Name,6 Letter Code,4 Letter Code,Lat,Lon,Exchange,Station_ID,Kalshi Series
NYC - Central Park,CLINYC,KNYC,40.7789,-73.9692,Kalshi,USW00094728,KXHIGHNY
Chicago,CLIMDW,KMDW,41.78417,-87.75528,Kalshi,USW00014819,KXHIGHCHI
Austin,CLIAUS,KAUS,30.18304,-97.67987,Kalshi,USW00013904,KXHIGHAUS
Denver,CLIDEN,KDEN,39.84658,-104.65622,Kalshi,USW00003017,KXHIGHDEN
Philadelphia,CLIPHL,KPHL,39.87327,-75.22678,Kalshi,USW00013739,KXHIGHPHIL
Miami,CLIMIA,KMIA,25.79056,-80.31639,Kalshi,USW00012839,KXHIGHMIA
LA,CLILAX,KLOX,33.9381,-118.3867,Kalshi,USW00023174,KXHIGHLAX
NYC - Laguardia,,,40.76,-73.86,Polymarket,USW00014732,
NYC - Central Park,CLINYC,KNYC,40.7789,-73.9692,Kalshi,USW00094728,KXLOWTNYC
Chicago,CLIMDW,KMDW,41.78417,-87.75528,Kalshi,USW00014819,KXLOWTCHI
Austin,CLIAUS,KAUS,30.18304,-97.67987,Kalshi,USW00013904,KXLOWTAUS
Denver,CLIDEN,KDEN,39.84658,-104.65622,Kalshi,USW00003017,KXLOWTDEN
Philadelphia,CLIPHL,KPHL,39.87327,-75.22678,Kalshi,USW00013739,KXLOWTPHIL
Miami,CLIMIA,KMIA,25.79056,-80.31639,Kalshi,USW00012839,KXLOWTMIA
LA,CLILAX,KLOX,33.9381,-118.3867,Kalshi,USW00023174,KXLOWTLAX
Atlanta,CLIATL,KATL,33.6407,-84.4277,Kalshi,USW00013874,KXHIGHTATL
Boston,CLIBOS,KBOS,42.3601,-71.0589,Kalshi,USW00014739,KXHIGHTBOS
Dallas,CLIDFW,KDFW,32.8998,-97.0403,Kalshi,USW00003927,KXHIGHTDAL
Washington DC,CLIDCA,KDCA,38.8512,-77.0402,Kalshi,USW00013743,KXHIGHTDC
Houston,CLIHOU,KHOU,29.6454,-95.2789,Kalshi,USW00012960,KXHIGHTHOU
Las Vegas,CLILSV,KLAS,36.0840,-115.1537,Kalshi,USW00023169,KXHIGHTLV
Minneapolis,CLIMSP,KMSP,44.8820,-93.2218,Kalshi,USW00014922,KXHIGHTMIN
New Orleans,CLIMSY,KMSY,29.9934,-90.2580,Kalshi,USW00012916,KXHIGHTNOLA
Oklahoma City,CLIOKC,KOKC,35.3931,-97.6007,Kalshi,USW00013967,KXHIGHTOKC
Phoenix,CLIPHX,KPHX,33.4373,-112.0078,Kalshi,USW00023183,KXHIGHTPHX
San Antonio,CLISAN,KSAT,29.5337,-98.4698,Kalshi,USW00012921,KXHIGHTSATX
Seattle,CLISEA,KSEA,47.4502,-122.3088,Kalshi,USW00024233,KXHIGHTSEA
San Francisco,CLISFO,KSFO,37.6213,-122.3790,Kalshi,USW00023234,KXHIGHTSFO
